MATRIX_SIZE,IJK,IKJ,JIK,JKI,KIJ,KJI
480,1.000000,1.622655,1.027023,1.089524,1.602047,1.108097
640,1.000000,1.585507,1.080313,1.148535,1.599101,1.102321
960,1.000000,2.312278,0.971760,1.242334,2.203057,1.062581
1280,1.000000,1.815941,1.123972,1.087840,1.799490,1.129483
1920,1.000000,6.106841,1.050119,1.088892,5.970720,1.088415
480,1.000000,1.538671,1.003748,1.076365,1.472460,1.033643
640,1.000000,1.351614,1.107839,1.239457,1.709518,1.131440
960,1.000000,3.085680,1.201596,1.117361,3.119806,1.159850
1280,1.000000,1.860001,1.134950,1.035936,1.816213,1.078444
1920,1.000000,5.999289,1.053331,1.018967,5.890973,1.048613
