MATRIX_SIZE,CHUNK,SERIAL_BASELINE,P2T,P4T,P8T
480,48,1.000000,2.332410,3.573064,5.178323
480,96,1.000000,1.883454,2.704493,4.470818
480,192,1.000000,1.839750,2.608944,2.658327
640,48,1.000000,2.041765,3.505246,6.810953
640,96,1.000000,1.918842,3.426761,6.800424
640,192,1.000000,1.773207,3.473497,3.396245
960,48,1.000000,2.014911,3.408503,5.571449
960,96,1.000000,2.075122,2.811615,4.561941
960,192,1.000000,1.900308,2.440013,3.671849
1280,48,1.000000,1.984905,3.125635,5.557692
1280,96,1.000000,1.931688,2.943558,5.512965
1280,192,1.000000,1.836075,2.942320,5.693124
1920,48,1.000000,7.946078,9.693559,12.675185
1920,96,1.000000,5.793112,6.787035,8.881602
1920,192,1.000000,8.904413,10.715592,12.501878
480,48,1.000000,2.221849,3.258172,4.694353
480,96,1.000000,1.870739,2.635211,4.651153
480,192,1.000000,1.867958,2.671508,2.655488
640,48,1.000000,2.047127,3.532417,6.739365
640,96,1.000000,1.947909,3.500011,6.838146
640,192,1.000000,1.779354,3.477153,3.510491
960,48,1.000000,2.193968,4.048416,5.544230
960,96,1.000000,2.141559,3.305865,4.572588
960,192,1.000000,1.798144,2.623245,4.480720
1280,48,1.000000,2.059887,3.908540,5.989874
1280,96,1.000000,1.953073,3.334904,6.106652
1280,192,1.000000,1.848818,3.246294,6.271382
1920,48,1.000000,15.274518,18.530128,23.833491
1920,96,1.000000,11.823302,14.526425,17.999236
1920,192,1.000000,13.972397,16.576435,20.247641
480,48,1.000000,2.074361,3.332263,4.437265
480,96,1.000000,1.859028,2.652284,4.735118
480,192,1.000000,1.798748,2.714574,2.631978
640,48,1.000000,2.014160,3.470801,6.738203
640,96,1.000000,1.947417,3.541870,6.800085
640,192,1.000000,1.715943,3.451115,3.432121
960,48,1.000000,2.084718,3.864582,5.250583
960,96,1.000000,2.172347,3.352420,4.232750
960,192,1.000000,1.968932,2.849522,4.178691
1280,48,1.000000,1.939345,3.570056,5.664300
1280,96,1.000000,2.022503,3.170384,6.283930
1280,192,1.000000,1.801777,3.188456,5.672226
1920,48,1.000000,8.088963,9.157770,12.744900
1920,96,1.000000,8.271993,10.197344,13.168407
1920,192,1.000000,13.345611,15.021077,18.637949
